,title,description,views
0,powerful poem parkinson grow older,when poet robin morgan find herself face parkinson s disease she distil her experience into these four quietly powerful poem meditate age loss simple power notice,-1
1,on glamour,in timely cultural critic virginia postrel muse true mean powerful use glamour which she define a any calculate carefully polish image design impress persuade,-1
2,everything hear film lie,sound design build deception when watch movie or tv show nearly all sound hear be fake in tasos frantzolas explore role sound storytelling demonstrate just easily our brain be fool by what hear,1
3,let parent taboo,publisher rufus griscom alisa volkman lively expose fact parent never ever admit why they should funny honest parent nonparents alike,1
4,way think work break,what make work satisfy apart paycheck there be intangible value barry schwartz suggest our current way think work simply ignore it time stop think worker a cog wheel,1
5,philosophical breakfast club,in four men at cambridge university meet breakfast what begin a an impassioned meal grow into new scientific revolution which these men who call themselves natural philosopher until they later coin scientist introduce four major principle into scientific inquiry historian philosopher laura snyder tell their intrigue story,1
6,world oldest live thing,rachel sussman show photograph world oldest continuously live organism brain coral off tobago coast an underground forest south africa have live since before dawn agriculture,1
7,atheism,what aspect religion should atheist respectfully adopt alain de botton suggest religion atheist call atheism incorporate religious form tradition satisfy our human need connection ritual transcendence,1
8,why mayor should rule world,it often seem like politician care more create gridlock than solve world problem so who actually get bold thing do city mayor so political theorist benjamin barber suggest let give them more control over global policy barber show these urban homeboy be solve press problem their own turf maybe world,-1
9,what would happen if upload our brain computer,meet em machine emulate human brain can think feel work just like brain they copy futurist social scientist robin hanson describe possible future when em take over global economy run superfast computer copy themselves multitask leave human only one choice retire forever glimpse strange future a hanson describe what could happen if robot rule earth,-1
10,want be happier stay moment,when be human most happy to gather data question matt killingsworth build an app track your happiness let people report their feel real time among surprise result we often happiest when lose moment and flip side more our mind wander le happy can be,1
11,make sound visible through cymatics,evan grant demonstrate science art cymatics process make soundwaves visible useful analyze complex sound like dolphin call also make complex beautiful design,-1
12,take other lunch,there an angry divisive tension air threaten make modern politics impossible elizabeth lesser explore two side human nature within u call them mystic warrior can be harness elevate way treat each other she share simple way begin real dialogue by go lunch someone who do agree ask them three question find out what really their heart,1
13,save face a facial surgeon craft,maxillofacial surgeon iain hutchison work people whose face have be severely disfigure by push improve surgical technique help improve their live by commission their portrait celebrate their humanity note this contain image disfigure badly injure face may be disturb hutchison provide thoughtful answer a why disfigure face can shock u so deeply squeamish hide your screen but do keep listen portrait show come mark gilbert,-1
14,embrace near win,at her first museum job art historian sarah lewis notice something important an artist she be study not every artwork be total masterpiece she ask u consider role near win our own live in our pursuit success mastery actually our near win push u forward,1
15,why i speak up live epilepsy,once homebound by epilepsy mental health advocate sitawa wafula find her strength write now she advocate others who be yet find their voice cut through stigma exclusion what like live condition,-1
16,dangerous meme,start simple tale an ant philosopher dan dennett unleash devastate salvo idea make powerful case existence meme concept be literally alive,1
17,a atlas universe,for last year carter emmart have be coordinate effort scientist artist programmer build complete visualization our know universe he demo stun tour explain be share facility around world,1
18,be human,have ever wonder be i human be ze frank suggest series simple question will determine please relax follow prompt let begin,1
19,dance tiny robot,there place france where robot do dance and place tedxconcorde where bruno maisonnier aldebaran robotics choreograph troupe tiny humanoid nao robot through surprisingly emotive performance,1
20,want kid learn well fee them well,what can expect our kid learn if they hungry or eat diet full sugar empty nutrient former white house chef food policymaker sam ka discus role school can play nourish student body addition their mind,1
21,next web,year ago tim invent world wide web for next project build web open link data could do number what web do word picture video unlock our data reframe way use together,1
22,hamilton madison birth american partisanship,divisiveness plague american politics today nothing new say constitutional law scholar noah feldman in fact date back early day republic when dispute between alexander hamilton jam madison lead two found father cut tie form country first political party join feldman some fascinate history american factionalism hopeful reminder constitution have prove itself be greater than partisanship,-1
23,how get back work after career break,if take career break be now look return workforce would consider take an internship career reentry expert carol fishman cohen think should in hear cohen own experience return work after career break her work champion success relaunchers employer be change they engage talent,1
24,how technology evolve,tech enthusiast kevin kelly ask what do technology want discover it movement toward ubiquity complexity much like evolution life,1
25,panama paper expose huge global problem what next,on april saw largest data leak history panama paper expose rich powerful people hide vast amount money offshore account but what do all mean we call robert palmer global witness find out,-1
26,glimpse pristine ocean,enric sala share glorious image surprise insight data some most pristine area ocean he show can restore more our ocean healthy balance state powerful ecological economic benefit do so,-1
27,how america public school keep kid poverty,why should good education be exclusive rich kid school neighborhood across u specifically community color lack resource be standard at wealthier school thing like musical instrument new book healthy school lunch soccer field have real impact potential student kandice sumner see disparity every day her classroom boston in inspire she ask u face fact change them,1
28,what do baby think,baby young child be like r d division human specie say psychologist alison gopnik her research explore sophisticate baby be really do when they play,1
29,single biggest health threat woman face,surprise but true more woman now die heart disease than men yet cardiovascular research have long focus men pioneer doctor noel bairey merz share what know do know woman heart health include remarkably different symptom woman present during heart attack why they often miss,-1
30,how let altruism be your guide,what altruism put simply wish other people may be happy and say matthieu ricard happiness researcher buddhist monk altruism also great lens make decision both short long term work life,1
31,how africa can keep rise,african growth trend not fluke say economist former finance minister nigeria ngozi in refreshingly candid straightforward describe positive progress continent outline eight challenge african nation still need address order create better future,-1
32,trust ensemble,conductor charles hazlewood talk role trust musical leadership then show work a conduct scottish ensemble onstage he also share clip two musical project opera ekhayelitsha paraorchestra,-1
33,habit happiness,what happiness can all get some biochemist turn buddhist monk matthieu ricard say can train our mind habit generate true sense serenity fulfillment,1
34,why not make video game girl,at ted brenda laurel ask why be all videogames aim at little boy she spend two year research world girl share amaze interview photo create game girl would love,-1
35,how pitch vc,think startup david rise ted u pitch venture capitalist tell thing need know yourself prove vc before fire up your slideshow,-1
36,we need better drug now,today know molecular cause disease but treatment be available only them so what take so long geneticist physician francis collins explain why systematic drug discovery imperative even rare complex disease offer few solution like teach old drug new trick,-1
37,dare disagree,most people instinctively avoid conflict but a margaret heffernan show u good disagreement central progress she illustrate sometimes counterintuitively best partner aren t echo chamber great research team relationship business allow people deeply disagree,1
38,top tech tip,tech columnist david pogue share simple clever tip computer web smartphone camera user and yes may know few these already but there probably at least one do,1
39,comedy translation,every act communication some way an act translation writer chris bliss talk way great comedy can translate deep truth mass audience,-1
40,archeology animal photography bbq,nathan myhrvold talk few latest fascination animal photography archeology bbq generally be an eccentric genius multimillionaire listen wild story somewhat raunchy edge animal world,-1
41,what right thing do,be torture ever justify would steal drug your child need survive be sometimes wrong tell truth how much one human life worth in justice program bear name harvard professor michael sandel probe these question ask what think why,-1
42,a asphalt,pave road be nice look at but they easily damage costly repair erik schlangen demo new type porous asphalt make simple material an astonish feature when crack can be heal by induction heat,-1
43,look be everything believe me i model,cameron russell admit she win genetic lottery she tall pretty an underwear model but do judge her by her look in fearless she take wry look at industry have her look highly seductive at barely year old,1
44,music emotion through time,in epic overview michael tilson thomas trace development classical music through development write notation record,1
45,how digital dna could help make better health choice,what if could know exactly food or medication would impact your health before put your body genomics researcher jun wang work develop digital doppelganger real people they start genetic code but they also factor other kind data a well food intake sleep data collect by smart toilet with all valuable information wang hop create an engine will change way think health both an individual level a collective,-1
46,web a city,steven johnson say web like city build by many people completely control by no one intricately interconnect yet function a many independent part while disaster strike one place elsewhere life go,-1
47,how an old loop railroad change face city,urban planner ryan gravel share story hometown atlanta georgia rally build massive urban park will transform an abandon railroad track into mile public green space call atlanta beltline place live be inevitable say if want something different need speak up,-1
48,it s our city let s fix,too often people feel check out politics even at level their own city but urban activist alessandra orofino think can change use mix tech human connection share example her hometown rio she say it up u decide whether want school or park lot recycle project or construction sit car or bus loneliness or solidarity,-1
49,our century greatest injustice,sheryl wudunn book half sky investigate oppression woman globally her story shock only when woman develop country have equal access education economic opportunity will be use all our human resource,-1
50,inspire life immersion,we each want live life purpose but where start in luminous jacqueline novogratz introduce u people she meet her work patient capital people who have immerse themselves cause community passion justice these human story carry powerful moment inspiration,-1
51,unheard story david goliath,it classic underdog tale david young shepherd arm only sling beat goliath mighty warrior story have transcend it biblical origin become common shorthand unlikely victory but ask malcolm gladwell really what david goliath story,1
52,intricate economics terrorism,loretta napoleoni detail her rare opportunity secretive italian red brigade an experience spark lifelong interest terrorism she give look at it complex economics reveal surprise connection between money launder u patriot act,-1
53,it time redesign medical data,your medical chart hard access impossible read full information could make healthier if just know use at tedmed thomas goetz look at medical data make bold call redesign get more insight,-1
54,play space light,in spectacular project famous such a waterfall new york harbor olafur eliasson create art palette space distance color light this begin an experiment nature perception,-1
55,global power shift,paddy ashdown believe be live moment history where power change way never have before in spellbind outline three major global shift see come,-1
56,take health care off mainframe,at tedmed eric dishman make bold argument u health care system like compute circa tether big unwieldy central system hospital doctor nurse home a our age population boom imperative say create personal network health care all,-1
57,what come after an inconvenient truth,at al gore present update slide around globe make case worry climate trend be even worse than scientist predict make clear stance clean coal,-1
58,why believe others,in rare clip legendary psychiatrist viktor frankl deliver powerful message human search mean most important gift can give others,-1
59,play smart material,ink conduct electricity window turn clear opaque at flip switch jelly make music all stuff exist catarina mota say it time play mota lead u tour surprise cool new material suggest way figure out what they good experiment tinker have fun,-1
60,beautiful nano detail our world,when photograph under microscope grain sand appear like colorful piece candy stamen flower become like fantastical spire at an amusement park gary greenberg reveal thrill detail micro world,-1
61,surprise spread idol tv,cynthia schneider look at two international american idol show one afghanistan one unite arab emirate show surprise effect these competition be create their society,-1
62,massively,what happen when get an entire audience stand up connect one another chaos what at least what happen when jane mcgonigal try teach ted play her favorite game then again when game massively multiplayer what else would expect,1
63,future news virtual reality,what if could experience story your entire body not just your mind nonny de la peña work new form journalism combine traditional report emerge virtual reality technology put audience inside story result an evocative experience de la peña hop will help people understand news brand new way,1
64,online video annotate remixed pop,video web should work like web itself dynamic full link map information can be edit update live say ryan merkley on ted stage demo mozilla popcorn maker tool easy video remixing,-1
65,protect twitter user sometimes themselves,del harvey head up twitter s trust safety team she think all day prevent scenario abuse troll stalk while give voice people around globe with deadpan humor she offer window into she work keep million user safe,-1
66,a forget ancient grain could help africa prosper,forget quinoa meet fonio an ancient miracle grain native senegal versatile nutritious in passionate chef pierre thiam share obsession hardy crop explain why believe it cultivation could transform society africa,-1
67,how healthy live nearly kill me,for full year aj jacob follow every piece health advice could apply sunscreen by shoot glass wear bicycle helmet while shop onstage at tedmed share surprise thing learn,1
68,a story mix emoticon,rive tell typographical fairy tale short bittersweet,1
69,glory new yorker comma queen,copy edit new yorker like play shortstop major league baseball team every little movement get pick over by critic say mary norris who have play position more than thirty year in time she get reputation sternness be comma maniac but unfounded she say above all her work aim at one thing make author look good explore new yorker distinctive style person who know best charm,-1
70,skin color an illusion,nina jablonski say differ skin color be simply our body adaptation vary climate level uv exposure charles darwin disagree theory but she explain because do not have access nasa,-1
71,be china u doom conflict,former prime minister australia kevin rudd also longtime student china unique vantage point watch it power rise past few decade he ask whether grow ambition china will inevitably lead conflict other major power suggest another narrative,1
72,how radio telescope show u unseen galaxy,our universe strange wonderful vast say astronomer natasha a spaceship ca carry into it depth yet but radio telescope can in mesmerize show she probe mystery universe use special technology reveal light spectrum ca see,-1
73,success failure drive keep create,elizabeth gilbert be once an unpublished diner waitress devastate by rejection letter and yet wake success pray love she find herself identify strongly her former self with beautiful insight gilbert reflect why success can be a disorient a failure offer simple though hard way carry regardless outcome,1
74,what driverless world could look like,what if traffic flow through our street a smoothly efficiently a blood flow through our vein transportation geek wanis kabbaj think can find inspiration genius our biology design transit system future in preview excite concept like modular detachable bus fly taxi network suspend magnetic pod could help make dream dynamic driverless world into reality,1
75,how build your creative confidence,be your school or workplace divide into creatives versus practical people yet surely david kelley suggest creativity not domain only choose few tell story legendary design career own life offer way build confidence create from design studio session at by chee pearlman david rockwell,1
76,nature everywhere just need learn see,how do define nature if define a which untouched by human then wo have any leave say environmental writer emma marri she urge u consider new definition nature one include not only pristine wilderness but also untended patch plant grow urban space encourage u bring our child out touch tinker so one day they might love protect,-1
77,neuroscience restorative justice,daniel reisel study brain criminal psychopath mouse and ask big question instead warehouse these criminal should be use what know brain help them rehabilitate put another way if brain can grow new neural pathway after an injury could help brain morality,-1
78,in key genius,bear three half month prematurely derek paravicini blind have severe autism but perfect pitch innate talent lot practice become concert pianist by age here longtime piano teacher adam ockelford explain student unique relationship music while paravicini show have rip up chopstick rulebook,1
79,diy orchestra future,ge wang make computer music but all cod bleep blip with stanford laptop orchestra create new instrument out unexpected an ikea allow musician play music both beautiful expressive,1
80,can really tell if kid lie,be child poor liar do think can easily detect their lie developmental researcher kang lee study what happen physiologically child when they lie they do lot start a young a two year old they actually really good at lee explain why should celebrate when kid start lie present new technology could someday reveal our hide emotion,1
81,robot show emotion,david hanson robot face look act like yours they recognize respond emotion make expression their own here an emotional live demo einstein robot offer peek at future where robot truly mimic human,-1
82,my invention make peace lion,in maasai community where richard turere live family cattle be but lion attack be grow more frequent in short inspire young inventor share solution design safely scare lion away,1
83,one more reason get good night sleep,brain use quarter body entire energy supply yet only account two percent body mass so do unique organ receive perhaps more importantly rid itself vital nutrient new research suggest have do sleep,1
84,in search man who break my neck,when joshua prager be devastate bus accident leave him hemiplegic he return israel twenty year later find driver who turn world upside down in mesmerize tale their meet prager probe deep question nature nurture identity,1
85,can cloud buy u more time solve climate change,climate change real case close but there still lot do understand more know better chance have slow down one factor how might cloud play part there small hope they could buy u some time fix thing or they could make global warm worse climate scientist kate marvel take u through science cloud what might take earth break it own fever,-1
86,design,name science a chief inspiration mathieu lehanneur show selection ingenious design an interactive ball an antibiotic course one layer pill asthma treatment remind kid take live air filter fish farm more,-1
87,a computer work like brain,researcher kwabena boahen look way mimic brain supercomputing power silicon because messy redundant process inside our head actually make small light superfast computer,-1
88,to upgrade human,in prophetic just day before dolly sheep be stuff biotech ethicist gregory stock look forward new more meaningful controversial technology like customizable baby whose adoption might drive human evolution,-1
89,rollercoaster,singer songwriter actress sara ramirez woman many talent join by michael pemberton guitar ramirez sing opportunity wisdom high low life live performance her song rollercoaster,-1
90,my web playroom,on web new friend may be just click away but true connection harder find express ze frank present medley zany internet toy require deep participation reward something more nourish you invite if promise share,1
91,in defense dialogue,in politics seem counterintuitive engage dialogue violent group radical terrorist state support them but jonas gahr støre foreign minister norway make compel case open discussion even when our value diverge,-1
92,what new power look like,we can see power distribute business model every day witness uber kickstarter airbnb but veteran online activist jeremy heimans ask when do kind new power start work politics his surprise answer sooner than think it s bold argument future politics power watch see if agree,1
93,new bionics let u run climb dance,hugh herr build next generation bionic limb robotic prosthetics inspire by nature own design herr lose both leg climb accident year ago now a head mit medium lab s biomechatronics group show incredible technology both technical deeply personal help ballroom dancer adrianne who lose her leave leg boston marathon bomb perform again first time ted stage,1
94,why i must speak out climate change,top climate scientist jam hansen tell story involvement science debate over global climate change in do so outline overwhelm evidence change happen why make him deeply worry future,1
