,title,description
0,school kill creativity,sir ken robinson make entertain profoundly move case create education system nurture rather undermine creativity
1,avert climate crisis,humor humanity exude inconvenient truth al gore spell way individual address climate change immediately buy hybrid invent new hotter brand name global warm
2,simplicity sell,new york time columnist david pogue take aim technology worst offender provide encourage example product get right funny thing burst song
3,green ghetto,emotionally charge talk activist majora carter detail fight environmental justice south bronx show minority neighborhood suffer flaw urban policy
4,best stats ever see,never see data present like drama urgency sportscaster statistic guru han rosling debunk myth develop world
5,,tony robbins discus invisible force motivate everyone action al gore front row
6,let go god,two young mormon missionary knock julia sweeney door one day touch quest completely rethink belief excerpt sweeney solo show let go god
7,behind design seattle library,architect joshua take audience dazzle dizzy virtual tour three recent project central library seattle museum plaza louisville charles wyly theater dallas
8,let teach religion religion school,philosopher dan dennett call religion religion teach school understand nature natural phenomenon take life dispute claim moral one must deny evolution
9,life purpose,pastor rick warren author life reflect crisis purpose wake book wild success explain belief god intention u use talent influence good
10,wish call architecture,accept ted prize cameron sinclair demonstrate passionate designer architect respond world house crisis unveil ted prize wish network improve global live standard collaborative design
11,wish global day film,jehane noujaim unveil ted prize wish bring world together one day year power film
12,wish help stop pandemic,accept ted prize larry brilliant talk smallpox eradicate planet call new global system identify contain pandemic spread
13,radical promise interface,jeff han show cheap scalable computer screen interface may spell end
14,one laptop per child,nicholas negroponte founder mit medium laboratory describe one laptop per child project build distribute laptop
15,magical violin,violinist sirena huang give technically brilliant emotionally nuanced performance charm interlude praise timeless design instrument
16,improvise piano age,pianist composer jennifer lin give magical performance talk process creativity improvise move solo piece base random sequence note
17,simple design save life,fume indoor cook fire kill million child year develop world mit engineer amy smith detail excite simple solution tool turn farm waste charcoal
18,organic design inspire nature,designer ross lovegrove expound philosophy design offer insight several extraordinary product include ty nant water bottle go chair
19,birth wikipedia,jimmy wale recall assemble ragtag band volunteer give tool collaborate create wikipedia online encyclopedia
20,birth learn revolution,visionary richard baraniuk explain vision behind connexion call openstax online education system cut textbook allow teacher share modify course material freely anywhere world
21,nerdcore comedy,performer web toymaker ze frank deliver hilarious nerdcore standup routine tell u seriously passionate help people create interact use simple addictive web tool
22,meet founder blog revolution,found mother blog revolution movable type mena trott talk early day blogging realize give regular people power share live online key build friendlier connect world
23,love cheat,anthropologist helen fisher take tricky topic love explain evolution biochemical foundation social importance close warn potential disaster inherent antidepressant abuse
24,happiness body soul,eve ensler creator vagina monologue share discussion menopause friend lead talk sort sexual act onstage wag global campaign end violence toward woman find happiness
25,chemical scum dream distant quasar,legendary scientist david deutsch put theoretical physic back burner discus urgent matter survival specie first step toward solve global warm say admit problem
26,universe seem strange,biologist richard dawkins make case think improbable look human frame reference limit understand universe
27,freakonomics crack deal,freakonomics author steven levitt present new data finance drug deal contrary popular myth say crack dealer lucrative pay minimum wage bos kill
28,choice happiness spaghetti sauce,tip point author malcolm gladwell get inside food industry pursuit perfect spaghetti sauce make larger argument nature choice happiness
29,surprise science happiness,dan gilbert author stumble happiness challenge idea miserable get want psychological immune system let u feel truly happy even thing go plan
30,paradox choice,psychologist barry schwartz take aim central tenet western society freedom choice schwartz estimation choice make u freer paralyze happier dissatisfy
31,meet future cancer research,eva vertes give talk discus journey toward study medicine drive understand root cancer alzheimer
32,roadmap end age,cambridge researcher aubrey de grey argue age merely disease curable one human age seven basic way say avert
33,mobile phone fight poverty,iqbal quadir tell experience kid poor bangladesh later banker new york lead start mobile phone operator connect million rural bangladeshi become champion development
34,invest africa solution,jacqueline novogratz applaud world heighten interest africa poverty argue persuasively new approach
35,invest free press,free press paper magazine radio tv blog backbone true democracy vital watchdog business sasa vucinic journalist belgrade talk new fund support medium sell free press bond
36,rebuild break state,ashraf ghani passionate powerful talk emphasize necessity economic investment design ingenuity rebuild break state follow conversation ted curator chris anderson future afghanistan
