page_id,page_title,page_ns,revision_id,timestamp,contributor_id,contributor_name,text
3014,|بازی فکری|,0,17680654,2016-07-25T02:36:26Z,107456,|کامران آزاد|,"'''بازی‌های فکری''' از جمله بازی‌هایی است که از نام آن پیدا است بر اساس فکر و [[تمرکز]] انسان انجام می‌گیرد. از جمله بازی‌های فکری می‌توان به موارد زیر اشاره کرد:
* [[پنتاگو]]
* [[شطرنج]]
* [[نرد]]
* [[فکر بکر]]
* [[دیدار قاتل]]
* [[هشت‌پای]]
* [[ورق‌بازی]]
* [[بیست سوالی]]
* [[نقطه بازی]]
* [[مافیا (بازی گروهی)]]
* [[سودوکو]]
* [[جدول کلمات متقاطع]] 
* [[مکعب روبیک]]
* [[چامپ]]
* [[بازی‌های تخته‌ای]] 
* [[بازی ویدیویی]] (رایانه‌ای) 
* [[آتاری]]

== پانویس ==
{{پانویس}}

{{بازی خانگی}}


{{بازی-خرد}}
{{سرگرمی-خرد}}

[[رده:بازی‌های فکری]]
[[رده:مهارت‌ها]]"
3016,|شهرستان مهاباد|,0,17674874,2016-07-24T10:16:17Z,227421,|Masoud bukani|,"{{جعبه شهرستان ایران
|نام‌رسمی= شهرستان مهاباد
|عرض‌جغرافیایی =
|طول‌جغرافیایی =
|تصویر= Mahabad_County.png
|اندازه‌تصویر= 250px
|برچسب‌تصویر=
|استان= آذربایجان غربی
|نام‌های‌قدیمی=
|سال‌شهرستان‌شدن=
|جمعیت = ۲۱۵٬۵۲۹ نفر
|رشدجمعیت=
|تراکم‌جمعیت=
|زبان= کردی
|مذهب=
|مساحت= ۲۵۹۱ کیلومتر مربع
|ارتفاع=
|میانگین‌دما=
|میانگین‌بارش‌سالانه=
|شمارروزهای‌یخبندان=
|فرماندار=
|پیش‌شماره=
|وب‌گاه=
|شهرها= [[مهاباد]]{{سخ}}[[خلیفان]]
|بخش‌ها= [[بخش مرکزی (مهاباد)|مرکزی]]{{سخ}} [[بخش خلیفان (مهاباد)|خلیفان]]
}}
'''شهرستان مهاباد''' (کردی: مه‌هاباد) یکی از شهرستان‌های [[مردم کرد|کردنشین]]<ref name="""
3017,|ویکی‌پدیا:چرا حساب بسازیم؟|,4,18013986,2016-08-30T22:22:19Z,2.178.148.104,Anonymous,"{{میان‌بر|وپ:حساب}}

<div align=""center"" style=""background-color:#cee0f2; color: #000; padding: .2em .6em; font-size:larger; border: 1px solid #a3b1bf; margin-bottom:3px;"">'''{{sec link|fa|Special:Userlogin/signup|ایجاد حساب کاربری|padlock=no|query= returnto=ویکی‌پدیا:چرا_حساب_بسازیم%3F}}'''</div>

برای خواندن مقالات ویکی‌پدیا نیازی نیست که حساب کاربری داشته باشید. حتی برای ویرایش کردن در ویکی‌پدیا هم در اکثر موارد لازم نیست که حساب کاربری داشته باشید! با این وجود داشتن یک حساب کاربری در ویکی‌پدیا و انجام ویرایش‌ها پس از ورود به سامانه، به خاطر مزایایی که دارد، به طور کلی به همهٔ کاربران ویکی توصیه می‌شود.

== قطع دسترسی ==
"
3021,|دریاکنار رک|,0,12439263,2014-04-18T11:36:47Z,355566,|Fatemibot|,"{{Coord|49.2611|-123.2614|type:landmark|display=title}}
{{بدون منبع}}
{| tableborder=""0"" cellspacing=""0"" style=""padding: 0.1em; float:left; margin: 0px 0px 0em 0em; font-size: 75%; border:0px solid #999; text-align:right;""
|
[[پرونده:Wreckbeach-ptgrey.jpg|300px|بندانگشتی|نمایی از دریاکنار رک]]
|-
|}
"
3022,|استان بویره|,0,11857955,2014-01-30T20:59:45Z,206089,|Rezabot|,"{{coord|36|23|N|3|54|E|region:DZ-10_type:adm1st|display=title}}
{{استان الجزائر
|نام = استان بویره
|نقشه = [[پرونده:Algeria-Bouira.png|Algeria-Bouira.png]]
|کشور = الجزائر
|مساحت = ۴,۴۳۹  
|جمعیت =  ۶۹۴,۷۵۰
|تراکم جمعیت = ۱۵۶.۵ 
|شمارهٔ استان = ۱۰
|پیش‌شمارهٔ تلفنی = ۰۲۶
|تعداد فرمانداری‌ها = ۱۲ 
|تعداد شهرستان‌ها = ۴۵
|کد پستی = 
}}

'''بویره''' نام [[استان دهم]] کشور [[الجزائر]] است.

== شهرستان‌ها ==

شهرستان‌های این استان از این قرارند:

{|
|- valign=""top"" style=""padding:10px;""
|
* البویرة
* عین الترک
* ایت لعزیز
* [[الأخضریة]]
* قرومة
* معالة
* بودربالة
* بوکرام
* الزبربر
* قادریة
* عمر
* جباحیة
* سوق الخمیس
* المقرانی
* بئر اغبالو
|
* الروراوة
* الخبوزیة
"
3023,|تلمسان|,0,17552951,2016-07-07T06:38:15Z,557743,|YamahaBot|,"{{Infobox settlement
|name=تلمسان
|official_name=Tlemcen
|native_name=تلمسان
|native_name_lang=ar
|settlement_type=[[شهر]]
|image_skyline=
|image_caption=Mosiac of Tlemcen
|image_map=DZ-13-01 - Tlemcen - Wilaya Tlemcen.svg
|mapsize=180px
|map_caption=موقعیت تلمسان در داخل [[استان تلمسان]]
|pushpin_map=Algeria
|pushpin_label_position=bottom
|pushpin_map_caption= موقعیت تلمسان در نقشه [[الجزایر]]
|latd=34|latm=52|lats=58|latNS=N
|longd=01|longm=19|longs=00|longEW=W
|coordinates_region=DZ
|subdivision_type=[[فهرست کشورهای مستقل|کشور]]
|subdivision_name={{flag|Algeria}}
|subdivision_type1=[[استان‌های الجزایر|استان]]
|subdivision_name1=[[استان تلمسان|تلمسان]]
|subdivision_type2=[[شهرستان‌های الجزایر|District]]
|subdivision_name2=تلمسان
|area_total_km2=۹۰۶۱
|elevation_m=۸۴۲
|population_as_of=سرشماری ۲۰۰۸ 
|population_total=۱۷۳۵۳۱
"
3026,|استان ادرار|,0,16275626,2015-12-12T16:08:10Z,541673,|سینمادوست|,"{{coord|27|52|50|N|0|17|50|W|region:DZ-01_type:adm1st|display=title}}

{{استان الجزائر
|نام = استان ادرار
|نقشه = [[پرونده:Algeria 01 Wilaya locator map-2009.svg|Algeria-Adrar.png]]
|کشور = الجزائر
|مساحت = ۴۳۹٬۷۰۰
|جمعیت = ۴۰۲٬۱۹۷
|تراکم جمعیت = ۰٫۹
|شمارهٔ استان = ۱
|پیش‌شمارهٔ تلفنی = ۰۴۹
|تعداد فرمانداری‌ها = ۱۱
|تعداد شهرستان‌ها = ۲۸
|کد پستی =
}}

'''اَدرار''' نام استان بزرگی در جنوب غربی [[الجزایر]] است.

این استان در منطقه [[صحرای بزرگ آفریقا]] واقع شده است.

مرکز این استان، شهر [[اَدرار]] است.

{{جغرافیا-خرد}}
{{استان‌های الجزایر}}

[[رده:استان ادرار]]
[[رده:استان‌های الجزایر|ادرار]]"
3027,|تونس|,0,18031307,2016-09-02T20:10:15Z,182777,|Sonia Sevilla|,"{{coord|36|50|N|10|9|E|type:country|display=title}}
{{کاربردهای دیگر}}
{{جعبه اطلاعات کشور|
نام اصلی=جمهوری تونس|
نام عادی=تونس|
تصویر پرچم=Flag of Tunisia.svg|
تصویر نشان ملی=Coat of arms of Tunisia.svg|
شعار ملی= سامانمندی، آزادی، دادگری''|
سرود ملی = [[ای پشتیبانان کشور]] |
نقشه = Tunisia in its region.svg|center|200px |
پایتخت=تونس|
بزرگترین شهر=تونس|
زبان رسمی=[[زبان عربی|عربی]]|
نوع حاکمان = • [[رئیس جمهور]]{{سخ}}• [[نخست‌وزیر]] |
نام حاکمان = [[محمد باجی قائد سبسی]]{{سخ}}[[يوسف الشاهد]] |
مساحت={{formatnum:163610}}|
جمعیت={{formatnum:10486339}}|
شاخص توسعه انسانی=۰٫۷۶۹|
واحد پول=[[دینار|دینار تونس]]|
کد واحد پول=TND|
منطقه زمانی= |
منطقه زمانی تابستانی= |
utc=+۱:۰۰|
"
3029,|آفریقای شمالی|,0,18049110,2016-09-06T08:02:15Z,267632,|MohammadtheEditor|,"[[پرونده:North Africa (orthographic projection).svg|چپ|thumb|۳۲۵px|
{{legend|#346733|آفریقای شمالی ([[طرح جغرافیای جهان سازمان ملل متحد]])}} 
{{legend|#088733|منطقه مرتبط جغرافیایی}}{{سخ}}''از چپ به راست:''
{{legend|#346733|[[صحرای غربی]]، [[مراکش]]، [[الجزایر]]، [[تونس]]،{{سخ}}[[لیبی]]، [[مصر]]، [[سودان]]، [[سودان جنوبی]]}}
''از راست به چپ:''
{{legend|#088733|[[چاد]]، [[نیجر]]، [[مالی]]، [[موریتانی]]}}]]
به آن بخش از قاره [[آفریقا]] که در شمال [[صحرای بزرگ آفریقا]] قرار گرفته '''آفریقای شمالی''' می‌گویند. مرزهای دقیقی برای این ناحیه تعریف نشده. در کل ۸۰ درصد از مردم آفریقای شمالی از نژاد سفید هستند{{مدرک}}.

"
3030,|لیبی|,0,17679030,2016-07-24T20:58:05Z,107456,|کامران آزاد|,"{{به روز-نیاز}}
{{Coord|۲۷٫۴|۱۷٫۶|dim:۲۰۰۰۰۰۰_type:country|display=title}}
{{جعبه اطلاعات کشور|
نام اصلی =  لیبیا|
نام فارسی رسمی =  دولت لیبی |
نام عادی = لیبی |
تصویر پرچم =  Flag of Libya.svg|
تصویر نشان ملی = Libya PM logo.png |
شعار ملی = آزادی، عدالت، مردم‌سالاری|
سرود ملی = [[سرود ملی لیبی|لیبیا،لیبیا،لیبیا]]|
نقشه = Libya in its region.svg|center|200px |
پایتخت = [[طرابلس (لیبی)|طرابلس]]|
بزرگ‌ترین شهر =  [[طرابلس (لیبی)|طرابلس]]|
زبان رسمی = [[عربی]] |
نوع حکومت = جمهوری |
نوع حاکمان = شورای ملی انتقالی|
"
