,title,description
0,do school kill creativity,sir ken robinson make an entertain profoundly move case create an education system nurture rather than undermine creativity
1,avert climate crisis,with same humor humanity exude an inconvenient truth al gore spell out way individual can address climate change immediately buy hybrid invent new hotter brand name global warm
2,simplicity sell,new york time columnist david pogue take aim at technology s worst offender provide encourage example product get right to funny thing up burst into song
3,green ghetto,in an emotionally charge activist majora carter detail her fight environmental justice south bronx show minority neighborhood suffer most flaw urban policy
4,best stats ever see,you never see data present like with drama urgency sportscaster statistic guru han rosling debunk myth develop world
5,why do what do,tony robbins discus invisible force motivate everyone action al gore front row
6,let go god,when two young mormon missionary knock julia sweeney door one day touch off quest completely rethink her own belief excerpt sweeney solo show let go god
7,let teach religion all religion school,philosopher dan dennett call religion all religion be teach school so can understand it nature a natural phenomenon then take life dispute it claim be moral one must deny evolution
8,a life purpose,pastor rick warren author life reflect own crisis purpose wake book wild success he explain belief god intention each u use our talent influence do good
9,an magical violin,violinist sirena huang give technically brilliant emotionally nuanced performance in charm interlude praise timeless design her instrument
10,improvise piano age,pianist composer jennifer lin give magical performance talk process creativity improvise move solo piece base random sequence note
11,simple design save life,fume indoor cook fire kill more than million child year develop world mit engineer amy smith detail an excite but simple solution tool turn farm waste into charcoal
12,nerdcore comedy,performer web toymaker ze frank deliver hilarious nerdcore standup routine then tell u what seriously passionate help people create interact use simple addictive web tool
13,happiness body soul,eve ensler creator vagina monologue share discussion menopause her friend lead talk all sort sexual act onstage wag global campaign end violence toward woman find her own happiness
14,chemical scum dream distant quasar,legendary scientist david deutsch put theoretical physic back burner discus more urgent matter survival our specie first step toward solve global warm say admit have problem
15,why universe seem so strange,biologist richard dawkins make case think improbable by look at human frame reference limit our understand universe
16,freakonomics crack deal,freakonomics author steven levitt present new data finance drug deal contrary popular myth say be crack dealer lucrative it pay below minimum wage and your bos can kill
17,choice happiness spaghetti sauce,tip point author malcolm gladwell get inside food industry pursuit perfect spaghetti sauce make larger argument nature choice happiness
18,surprise science happiness,dan gilbert author stumble happiness challenge idea ll be miserable if don t get what want our psychological immune system let u feel truly happy even when thing don t go a plan
19,paradox choice,psychologist barry schwartz take aim at central tenet western society freedom choice in schwartz estimation choice have make u not freer but more paralyze not happier but more dissatisfy
20,a roadmap end age,cambridge researcher aubrey de grey argue age merely disease curable one at human age seven basic way say all which can be avert
21,real future space exploration,in passionate legendary spacecraft designer burt rutan lambast u space program stagnate ask entrepreneur pick up where nasa have leave off
22,why people believe weird thing,why do people see virgin mary cheese sandwich or hear demonic lyric stairway heaven use video music skeptic michael shermer show convince ourselves believe overlook fact
23,secret success,why do people succeed be because they smart or be they just lucky neither analyst richard john condense year interview into an unmissable slideshow real secret success
24,if i control internet,how many poet could cram ebay friendster into poem worthy stand ovation enjoy rive unique talent
25,killer american diet sweep planet,forget latest disease news cardiovascular disease kill more people than everything else combine s mostly preventable dean ornish explain change our eat habit can save live
26,be our final century,speak a both an astronomer concern member human race sir martin rees examine our planet it future cosmic perspective he urge action prevent dark consequence our scientific technological development
27,a dance symbiosis,two pilobolus dancer perform symbiosis do trace birth relationship or symbiotic specie music god music george crumb fratres arvo part morango almost tango thomas oboe lee
28,in praise slowness,journalist carl honore believe western world emphasis speed erode health productivity quality life but there backlash brew a everyday people start put brake their live
29,what separate u chimpanzee,jane goodall have find miss link but she come closer than nearly anyone else primatologist say only real difference between human chimp our sophisticate language she urge u start use change world
30,how get your idea spread,in world too many option too little time our obvious choice just ignore ordinary stuff market guru seth godin spell out why when come get our attention bad or bizarre idea be more successful than bore one
31,how discover dna,nobel laureate jam watson open frank funny story research partner francis crick discover structure dna
32,visual illusion show mi think,al seckel cognitive neuroscientist explore perceptual illusion fool our brain load eye trick help him prove not only be easily fool kind like
33,happiness by design,graphic designer stefan sagmeister take audience whimsical journey through moment life make him happy note many these moment have do good design
34,art wire sugar chocolate string,vik muniz make art pretty much anything be shred paper wire cloud or diamond here describe think behind work take u tour incredible image
35,biomimicry surprise lesson nature engineer,in inspire recent development biomimicry janine benyus provide hearten example way which nature already influence product system build
36,gentle genius bonobo,work bonobo ape which can understand speak language learn task by watch force audience rethink much what specie can do determine by biology much by cultural exposure
37,story life photograph,in stun slideshow celebrate nature photographer frans lanting present life project poetic collection photograph tell story our planet it eruptive beginning it present diversity soundtrack by philip glass
38,illusion consciousness,philosopher dan dennett make compel argument not only do understand our own consciousness but half time our brain be actively fool u
