,title,description
0,do school kill creativity,sir ken robinson make an entertain profoundly move case create an education system nurture rather than undermine creativity
1,avert climate crisis,with same humor humanity exude an inconvenient truth al gore spell out way individual can address climate change immediately buy hybrid invent new hotter brand name global warm
2,simplicity sell,new york time columnist david pogue take aim at technology s worst offender provide encourage example product get right to funny thing up burst into song
3,green ghetto,in an emotionally charge activist majora carter detail her fight environmental justice south bronx show minority neighborhood suffer most flaw urban policy
4,best stats ever see,you never see data present like with drama urgency sportscaster statistic guru han rosling debunk myth develop world
5,why do what do,tony robbins discus invisible force motivate everyone action al gore front row
6,let go god,when two young mormon missionary knock julia sweeney door one day touch off quest completely rethink her own belief excerpt sweeney solo show let go god
7,behind design seattle library,architect joshua take audience dazzle dizzy virtual tour three recent project central library seattle museum plaza louisville charles wyly theater dallas
8,let teach religion all religion school,philosopher dan dennett call religion all religion be teach school so can understand it nature a natural phenomenon then take life dispute it claim be moral one must deny evolution
9,a life purpose,pastor rick warren author life reflect own crisis purpose wake book wild success he explain belief god intention each u use our talent influence do good
10,my wish a call architecture,accept ted prize cameron sinclair demonstrate passionate designer architect can respond world house crisis he unveil ted prize wish network improve global live standard through collaborative design
11,my wish a global day film,jehane noujaim unveil her ted prize wish bring world together one day year through power film
12,my wish help me stop pandemic,accept ted prize larry brilliant talk smallpox be eradicate planet call new global system can identify contain pandemic before they spread
13,radical promise interface,jeff han show off cheap scalable computer screen interface may spell end
14,one laptop per child,nicholas negroponte founder mit medium laboratory describe one laptop per child project will build distribute laptop
15,an magical violin,violinist sirena huang give technically brilliant emotionally nuanced performance in charm interlude praise timeless design her instrument
16,improvise piano age,pianist composer jennifer lin give magical performance talk process creativity improvise move solo piece base random sequence note
17,simple design save life,fume indoor cook fire kill more than million child year develop world mit engineer amy smith detail an excite but simple solution tool turn farm waste into charcoal
18,organic design inspire by nature,designer ross lovegrove expound philosophy design offer insight into several extraordinary product include ty nant water bottle go chair
19,birth wikipedia,jimmy wale recall assemble ragtag band volunteer give them tool collaborate create wikipedia online encyclopedia
20,birth learn revolution,in visionary richard baraniuk explain vision behind connexion now call openstax an online education system it cut out textbook allow teacher share modify course material freely anywhere world
21,nerdcore comedy,performer web toymaker ze frank deliver hilarious nerdcore standup routine then tell u what seriously passionate help people create interact use simple addictive web tool
22,meet founder blog revolution,found mother blog revolution movable type mena trott talk early day blogging when she realize give regular people power share our live online key build friendlier more connect world
23,why love why cheat,anthropologist helen fisher take tricky topic love explain it evolution it biochemical foundation it social importance she close warn potential disaster inherent antidepressant abuse
24,happiness body soul,eve ensler creator vagina monologue share discussion menopause her friend lead talk all sort sexual act onstage wag global campaign end violence toward woman find her own happiness
25,chemical scum dream distant quasar,legendary scientist david deutsch put theoretical physic back burner discus more urgent matter survival our specie first step toward solve global warm say admit have problem
26,why universe seem so strange,biologist richard dawkins make case think improbable by look at human frame reference limit our understand universe
27,freakonomics crack deal,freakonomics author steven levitt present new data finance drug deal contrary popular myth say be crack dealer lucrative it pay below minimum wage and your bos can kill
28,choice happiness spaghetti sauce,tip point author malcolm gladwell get inside food industry pursuit perfect spaghetti sauce make larger argument nature choice happiness
29,surprise science happiness,dan gilbert author stumble happiness challenge idea ll be miserable if don t get what want our psychological immune system let u feel truly happy even when thing don t go a plan
30,paradox choice,psychologist barry schwartz take aim at central tenet western society freedom choice in schwartz estimation choice have make u not freer but more paralyze not happier but more dissatisfy
31,meet future cancer research,eva vertes only when she give discus her journey toward study medicine her drive understand root cancer alzheimer s
32,a roadmap end age,cambridge researcher aubrey de grey argue age merely disease curable one at human age seven basic way say all which can be avert
33,how mobile phone can fight poverty,iqbal quadir tell experience a kid poor bangladesh later a banker new york lead him start mobile phone operator connect million rural bangladeshi become champion development
34,invest africa own solution,jacqueline novogratz applaud world heighten interest africa poverty but argue persuasively new approach
35,why should invest free press,a free press paper magazine radio tv blog backbone any true democracy vital watchdog business sasa vucinic journalist belgrade talk new fund which support medium by sell free press bond
36,how rebuild break state,ashraf ghani passionate powerful emphasize necessity both economic investment design ingenuity rebuild break state follow by conversation ted curator chris anderson future afghanistan
37,real future space exploration,in passionate legendary spacecraft designer burt rutan lambast u space program stagnate ask entrepreneur pick up where nasa have leave off
38,why do i ski north pole,arctic explorer ben saunders recount harrow solo ski trek north pole complete engage anecdote gorgeous photo video
39,my wish three action africa,musician activist bono accept ted prize rivet argue aid africa just another celebrity cause global emergency
